2D Agreement Proportion Analysis Log
Started at: 2025-10-18 23:18:57
Log file: sensitivity_results/tau10_tau01_agreement_log_20251018_231857.txt
======================================================================

Running 2D sensitivity analysis...
  tau10 range: [-1.00, 1.00] with 20 steps
  tau01 range: [-1.00, 1.00] with 20 steps
  Trust levels: 100 points in [0, 1]
  Fixed parameters: β=0.9, α=0.02, γ=0.9
  τ={11:1.0, 00:-1.0}
  p={11:0.2, 10:0.4, 01:0.2, 00:0.2}
  Total simulations: 400

  Processing (152/400): τ¹⁰=0.158, τ⁰¹=-0.263...
  Processing (153/400): τ¹⁰=0.263, τ⁰¹=-0.263...
  Processing (154/400): τ¹⁰=0.368, τ⁰¹=-0.263...
  Processing (155/400): τ¹⁰=0.474, τ⁰¹=-0.263...
  Processing (156/400): τ¹⁰=0.579, τ⁰¹=-0.263...
  Processing (157/400): τ¹⁰=0.684, τ⁰¹=-0.263...
  Processing (158/400): τ¹⁰=0.789, τ⁰¹=-0.263...
  Processing (159/400): τ¹⁰=0.895, τ⁰¹=-0.263...
  Processing (160/400): τ¹⁰=1.000, τ⁰¹=-0.263...
  Processing (161/400): τ¹⁰=-1.000, τ⁰¹=-0.158...
  Processing (162/400): τ¹⁰=-0.895, τ⁰¹=-0.158...
  Processing (163/400): τ¹⁰=-0.789, τ⁰¹=-0.158...
  Processing (164/400): τ¹⁰=-0.684, τ⁰¹=-0.158...
  Processing (165/400): τ¹⁰=-0.579, τ⁰¹=-0.158...
  Processing (166/400): τ¹⁰=-0.474, τ⁰¹=-0.158...
  Processing (167/400): τ¹⁰=-0.368, τ⁰¹=-0.158...
  Processing (168/400): τ¹⁰=-0.263, τ⁰¹=-0.158...
  Processing (169/400): τ¹⁰=-0.158, τ⁰¹=-0.158...
  Processing (170/400): τ¹⁰=-0.053, τ⁰¹=-0.158...
  Processing (171/400): τ¹⁰=0.053, τ⁰¹=-0.158...
  Processing (172/400): τ¹⁰=0.158, τ⁰¹=-0.158...
  Processing (173/400): τ¹⁰=0.263, τ⁰¹=-0.158...
  Processing (174/400): τ¹⁰=0.368, τ⁰¹=-0.158...
  Processing (175/400): τ¹⁰=0.474, τ⁰¹=-0.158...
  Processing (176/400): τ¹⁰=0.579, τ⁰¹=-0.158...
  Processing (177/400): τ¹⁰=0.684, τ⁰¹=-0.158...
  Processing (178/400): τ¹⁰=0.789, τ⁰¹=-0.158...
  Processing (179/400): τ¹⁰=0.895, τ⁰¹=-0.158...
  Processing (180/400): τ¹⁰=1.000, τ⁰¹=-0.158...
  Processing (181/400): τ¹⁰=-1.000, τ⁰¹=-0.053...
  Processing (182/400): τ¹⁰=-0.895, τ⁰¹=-0.053...
  Processing (183/400): τ¹⁰=-0.789, τ⁰¹=-0.053...
  Processing (184/400): τ¹⁰=-0.684, τ⁰¹=-0.053...
  Processing (185/400): τ¹⁰=-0.579, τ⁰¹=-0.053...
  Processing (186/400): τ¹⁰=-0.474, τ⁰¹=-0.053...
  Processing (187/400): τ¹⁰=-0.368, τ⁰¹=-0.053...
  Processing (188/400): τ¹⁰=-0.263, τ⁰¹=-0.053...
  Processing (189/400): τ¹⁰=-0.158, τ⁰¹=-0.053...
  Processing (190/400): τ¹⁰=-0.053, τ⁰¹=-0.053...
  Processing (191/400): τ¹⁰=0.053, τ⁰¹=-0.053...
  Processing (192/400): τ¹⁰=0.158, τ⁰¹=-0.053...
  Processing (193/400): τ¹⁰=0.263, τ⁰¹=-0.053...
  Processing (194/400): τ¹⁰=0.368, τ⁰¹=-0.053...
  Processing (195/400): τ¹⁰=0.474, τ⁰¹=-0.053...
  Processing (196/400): τ¹⁰=0.579, τ⁰¹=-0.053...
  Processing (197/400): τ¹⁰=0.684, τ⁰¹=-0.053...
  Processing (198/400): τ¹⁰=0.789, τ⁰¹=-0.053...
  Processing (199/400): τ¹⁰=0.895, τ⁰¹=-0.053...
  Processing (200/400): τ¹⁰=1.000, τ⁰¹=-0.053...
  Processing (201/400): τ¹⁰=-1.000, τ⁰¹=0.053...
  Processing (202/400): τ¹⁰=-0.895, τ⁰¹=0.053...
  Processing (203/400): τ¹⁰=-0.789, τ⁰¹=0.053...
  Processing (204/400): τ¹⁰=-0.684, τ⁰¹=0.053...
  Processing (205/400): τ¹⁰=-0.579, τ⁰¹=0.053...
  Processing (206/400): τ¹⁰=-0.474, τ⁰¹=0.053...
  Processing (207/400): τ¹⁰=-0.368, τ⁰¹=0.053...
  Processing (208/400): τ¹⁰=-0.263, τ⁰¹=0.053...
  Processing (209/400): τ¹⁰=-0.158, τ⁰¹=0.053...
  Processing (210/400): τ¹⁰=-0.053, τ⁰¹=0.053...
  Processing (211/400): τ¹⁰=0.053, τ⁰¹=0.053...
  Processing (212/400): τ¹⁰=0.158, τ⁰¹=0.053...
  Processing (213/400): τ¹⁰=0.263, τ⁰¹=0.053...
  Processing (214/400): τ¹⁰=0.368, τ⁰¹=0.053...
  Processing (215/400): τ¹⁰=0.474, τ⁰¹=0.053...
  Processing (216/400): τ¹⁰=0.579, τ⁰¹=0.053...
  Processing (217/400): τ¹⁰=0.684, τ⁰¹=0.053...
  Processing (218/400): τ¹⁰=0.789, τ⁰¹=0.053...
  Processing (219/400): τ¹⁰=0.895, τ⁰¹=0.053...
  Processing (220/400): τ¹⁰=1.000, τ⁰¹=0.053...
  Processing (221/400): τ¹⁰=-1.000, τ⁰¹=0.158...
  Processing (222/400): τ¹⁰=-0.895, τ⁰¹=0.158...
  Processing (223/400): τ¹⁰=-0.789, τ⁰¹=0.158...
  Processing (224/400): τ¹⁰=-0.684, τ⁰¹=0.158...
  Processing (225/400): τ¹⁰=-0.579, τ⁰¹=0.158...
  Processing (226/400): τ¹⁰=-0.474, τ⁰¹=0.158...
  Processing (227/400): τ¹⁰=-0.368, τ⁰¹=0.158...
  Processing (228/400): τ¹⁰=-0.263, τ⁰¹=0.158...
  Processing (229/400): τ¹⁰=-0.158, τ⁰¹=0.158...
  Processing (230/400): τ¹⁰=-0.053, τ⁰¹=0.158...
  Processing (231/400): τ¹⁰=0.053, τ⁰¹=0.158...
  Processing (232/400): τ¹⁰=0.158, τ⁰¹=0.158...
  Processing (233/400): τ¹⁰=0.263, τ⁰¹=0.158...
  Processing (234/400): τ¹⁰=0.368, τ⁰¹=0.158...
  Processing (235/400): τ¹⁰=0.474, τ⁰¹=0.158...
  Processing (236/400): τ¹⁰=0.579, τ⁰¹=0.158...
  Processing (237/400): τ¹⁰=0.684, τ⁰¹=0.158...
  Processing (238/400): τ¹⁰=0.789, τ⁰¹=0.158...
  Processing (239/400): τ¹⁰=0.895, τ⁰¹=0.158...
  Processing (240/400): τ¹⁰=1.000, τ⁰¹=0.158...
  Processing (241/400): τ¹⁰=-1.000, τ⁰¹=0.263...
  Processing (242/400): τ¹⁰=-0.895, τ⁰¹=0.263...
  Processing (243/400): τ¹⁰=-0.789, τ⁰¹=0.263...
  Processing (244/400): τ¹⁰=-0.684, τ⁰¹=0.263...
  Processing (245/400): τ¹⁰=-0.579, τ⁰¹=0.263...
  Processing (246/400): τ¹⁰=-0.474, τ⁰¹=0.263...
  Processing (247/400): τ¹⁰=-0.368, τ⁰¹=0.263...
  Processing (248/400): τ¹⁰=-0.263, τ⁰¹=0.263...
  Processing (249/400): τ¹⁰=-0.158, τ⁰¹=0.263...
